date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:09	27114/27114	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:14:11%20GMT	https://sosyalmedyahizmetlerim.com/	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/index.html	(from )
16:14:09	605/605	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2025%20Sep%202022%2013:14:11%20GMT	https://sosyalmedyahizmetlerim.com/robots.txt		(from )
16:14:09	1910/1910	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Dec%202020%2015:09:37%20GMT	https://sosyalmedyahizmetlerim.com/images/4de62d12209f2c3b18bc8a19eca399e914835762.png	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/images/4de62d12209f2c3b18bc8a19eca399e914835762.png	(from https://sosyalmedyahizmetlerim.com/)
16:14:10	175731/175731	---M-Z	200	added ('OK')	text/css	date:Wed,%2020%20Oct%202021%2015:44:38%20GMT	https://sosyalmedyahizmetlerim.com/css/panel/yeti/bootstrap.css	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/css/panel/yeti/bootstrap.css	(from https://sosyalmedyahizmetlerim.com/)
16:14:10	61266/61266	---M-Z	200	added ('OK')	text/css	date:Wed,%2020%20Oct%202021%2015:44:36%20GMT	https://sosyalmedyahizmetlerim.com/css/panel/yeti/style.css	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/css/panel/yeti/style.css	(from https://sosyalmedyahizmetlerim.com/)
16:14:10	21162/21162	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Feb%202021%2014:45:59%20GMT	https://sosyalmedyahizmetlerim.com/js/datepicker/css/bootstrap-datepicker3.min.css	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/js/datepicker/css/bootstrap-datepicker3.min.css	(from https://sosyalmedyahizmetlerim.com/)
16:14:11	174333/174333	---MCZ	200	added ('OK')	text/css	etag:W/%225fa3cb41-2a8fd%22	https://cdn.mypanel.link/css/font-awesome/css/all.min.css	C:/Users/kemal/Desktop/ssss/cdn.mypanel.link/css/font-awesome/css/all.min.css	(from https://sosyalmedyahizmetlerim.com/)
16:14:12	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	C:/Users/kemal/Desktop/ssss/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://sosyalmedyahizmetlerim.com/)
16:14:12	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-3f5%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	C:/Users/kemal/Desktop/ssss/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	(from https://sosyalmedyahizmetlerim.com/)
16:14:13	69917/69917	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-1111d%22	https://code.jquery.com/jquery-3.3.1.slim.min.js	C:/Users/kemal/Desktop/ssss/code.jquery.com/jquery-3.3.1.slim.min.js	(from https://sosyalmedyahizmetlerim.com/)
16:14:13	19208/19208	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4b08%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.2/umd/popper.min.js	C:/Users/kemal/Desktop/ssss/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.2/umd/popper.min.js	(from https://sosyalmedyahizmetlerim.com/)
16:14:13	8748/8748	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Apr%202022%2020:12:51%20GMT	https://sosyalmedyahizmetlerim.com/images/7750ca3559e5b8e1f44210283368fc16.png	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/images/7750ca3559e5b8e1f44210283368fc16.png	(from https://sosyalmedyahizmetlerim.com/)
16:14:15	3127401/3127401	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:14:18%20GMT	https://sosyalmedyahizmetlerim.com/services	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/services.html	(from https://sosyalmedyahizmetlerim.com/)
16:14:16	36898/36898	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:14:19%20GMT	https://sosyalmedyahizmetlerim.com/api	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/api.html	(from https://sosyalmedyahizmetlerim.com/)
16:14:16	15488/15488	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:14:19%20GMT	https://sosyalmedyahizmetlerim.com/signup	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/signup.html	(from https://sosyalmedyahizmetlerim.com/)
16:14:16	3736/3736	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Jan%202021%2002:13:16%20GMT	https://sosyalmedyahizmetlerim.com/img/btn-mid-user.png	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/img/btn-mid-user.png	(from https://sosyalmedyahizmetlerim.com/)
16:14:17	7908/7908	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Dec%202020%2022:44:06%20GMT	https://sosyalmedyahizmetlerim.com/img/shape1.png	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/img/shape1.png	(from https://sosyalmedyahizmetlerim.com/)
16:14:17	4477/4477	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Dec%202020%2023:08:34%20GMT	https://sosyalmedyahizmetlerim.com/img/shape2.png	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/img/shape2.png	(from https://sosyalmedyahizmetlerim.com/)
16:14:17	4885/4885	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Dec%202020%2023:07:26%20GMT	https://sosyalmedyahizmetlerim.com/img/shape3.png	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/img/shape3.png	(from https://sosyalmedyahizmetlerim.com/)
16:14:18	13678/13678	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:14:20%20GMT	https://sosyalmedyahizmetlerim.com/resetpassword	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/resetpassword.html	(from https://sosyalmedyahizmetlerim.com/)
16:14:18	257930/257930	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Jan%202021%2007:05:20%20GMT	https://sosyalmedyahizmetlerim.com/img/main-img.png	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/img/main-img.png	(from https://sosyalmedyahizmetlerim.com/)
16:14:18	2208/2208	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Jan%202021%2017:50:32%20GMT	https://sosyalmedyahizmetlerim.com/img/icon1.png	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/img/icon1.png	(from https://sosyalmedyahizmetlerim.com/)
16:14:18	522534/522534	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Jan%202021%2017:41:20%20GMT	https://sosyalmedyahizmetlerim.com/img/main-img2.png	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/img/main-img2.png	(from https://sosyalmedyahizmetlerim.com/)
16:14:18	2446/2446	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Jan%202021%2017:56:28%20GMT	https://sosyalmedyahizmetlerim.com/img/icon2.png	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/img/icon2.png	(from https://sosyalmedyahizmetlerim.com/)
16:14:19	2400/2400	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Jan%202021%2017:55:10%20GMT	https://sosyalmedyahizmetlerim.com/img/icon3.png	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/img/icon3.png	(from https://sosyalmedyahizmetlerim.com/)
16:14:19	2363/2363	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Jan%202021%2017:53:24%20GMT	https://sosyalmedyahizmetlerim.com/img/icon4.png	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/img/icon4.png	(from https://sosyalmedyahizmetlerim.com/)
16:14:20	18095/18095	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:14:22%20GMT	https://sosyalmedyahizmetlerim.com/terms	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/terms.html	(from https://sosyalmedyahizmetlerim.com/)
16:14:20	21091/21091	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:14:23%20GMT	https://sosyalmedyahizmetlerim.com/faq	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/faq.html	(from https://sosyalmedyahizmetlerim.com/)
16:14:21	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/Users/kemal/Desktop/ssss/code.jquery.com/jquery-3.5.1.min.js	(from https://sosyalmedyahizmetlerim.com/)
16:14:21	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf0-ad36%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	C:/Users/kemal/Desktop/ssss/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	(from https://sosyalmedyahizmetlerim.com/)
